"","participant","condition","age","gender","dog","trolley","wallet","plane","resume","kitten","relaxed","angry","happy","sad","afraid","depressed","disgusted","upset","confused","vignette"
"1",1,1,21,0,3,4,6,7,4,4,13,0,6,3,0,0,7,1,5,4.66666666666667
"2",2,0,20,0,7,5,7,7,6,7,6,3,5,4,7,4,12,4,16,6.5
"3",3,1,23,1,4,1,6,3,3,4,10,0,6,5,0,2,0,0,0,3.5
"4",4,1,20,0,7,3,7,5,6,6,4,6,1,19,10,12,21,11,15,5.66666666666667
"5",5,0,19,1,6,3,6,7,5,7,7,0,0,0,0,0,19,0,0,5.66666666666667
"6",6,0,19,0,4,4,3,3,3,3,12,0,5,10,0,5,5,6,2,3.33333333333333
"7",7,1,24,0,5,3,5,6,4,5,4,0,11,2,0,2,12,2,0,4.66666666666667
"8",8,0,19,0,5,3,4,6,4,6,10,5,10,10,0,0,16,0,4,4.66666666666667
"9",9,1,20,1,7,1,4,6,5,6,5,0,13,0,0,0,17,0,11,4.83333333333333
"10",10,1,19,0,5,3,5,7,4,6,5,0,8,0,0,0,21,0,2,5
"11",11,0,19,0,5,3,6,6,6,5,6,6,12,6,6,6,17,11,7,5.16666666666667
"12",12,1,19,0,6,3,7,7,5,7,5,5,1,8,1,5,20,14,17,5.83333333333333
"13",13,0,19,0,6,4,7,7,4,7,6,2,8,4,3,0,13,2,8,5.83333333333333
"14",14,1,19,0,6,3,5,4,6,6,3,5,1,6,2,2,15,4,5,5
"15",15,0,20,0,6,5,4,4,6,6,6,8,7,9,9,9,14,8,4,5.16666666666667
"16",16,1,19,0,6,2,5,6,4,6,2,10,4,10,6,4,16,9,12,4.83333333333333
"17",17,0,19,0,6,5,5,6,6,7,10,0,10,0,0,0,21,0,0,5.83333333333333
"18",18,1,19,0,7,3,3,7,5,7,5,5,4,4,4,4,16,3,2,5.33333333333333
"19",19,0,27,0,7,5,7,5,7,6,10,10,4,4,5,4,21,5,14,6.16666666666667
"20",20,0,20,0,6,4,5,5,6,7,7,3,11,4,4,1,20,3,11,5.5
"21",21,1,27,0,2,4,2,2,1,3,0,0,0,0,0,2,21,18,1,2.33333333333333
"22",22,0,20,0,7,3,6,7,3,6,4,4,4,1,8,3,12,3,8,5.33333333333333
"23",23,0,20,1,5,2,3,4,5,6,6,1,17,1,1,3,18,1,2,4.16666666666667
"24",24,0,28,0,6,4,5,6,6,7,7,0,2,16,0,9,20,2,0,5.66666666666667
"25",25,0,22,1,6,2,7,7,5,7,12,0,8,3,0,0,1,0,0,5.66666666666667
"26",26,1,20,0,7,4,6,6,7,7,1,8,3,10,10,7,2,5,8,6.16666666666667
"27",27,1,19,0,6,2,5,5,2,7,8,1,11,3,1,1,16,3,8,4.5
"28",28,1,19,1,6,2,1,6,6,7,15,2,13,3,2,1,16,2,9,4.66666666666667
"29",29,1,19,1,2,3,5,3,6,5,19,0,17,0,0,0,3,0,0,4
"30",30,0,22,1,5,3,6,7,4,7,10,1,15,16,0,0,13,0,0,5.33333333333333
"31",31,1,23,0,6,2,3,3,4,6,4,4,1,7,1,1,16,2,5,4
"32",32,0,31,1,6,2,7,7,6,7,14,0,11,2,5,13,17,0,6,5.83333333333333
"33",33,1,37,0,7,5,5,7,1,7,20,1,15,1,21,21,9,21,0,5.33333333333333
"34",34,0,22,0,6,2,7,5,7,7,2,7,0,9,10,4,14,1,10,5.66666666666667
"35",35,1,34,1,1,1,5,2,2,7,17,0,17,0,0,0,3,0,0,3
"36",36,0,21,0,6,4,6,6,5,7,3,10,2,14,4,11,18,16,5,5.66666666666667
"37",37,1,21,0,7,4,5,7,5,7,7,1,10,4,1,9,20,6,4,5.83333333333333
"38",38,0,19,1,5,4,6,7,5,6,5,0,9,11,0,6,13,3,5,5.5
"39",39,0,23,0,6,4,6,7,5,7,15,0,11,3,0,0,8,0,0,5.83333333333333
"40",40,0,19,0,7,4,7,7,4,7,10,10,6,10,10,1,21,1,11,6
"41",42,1,23,1,5,3,4,7,4,7,16,4,13,3,3,3,16,4,4,5
"42",43,1,19,0,7,3,3,7,5,6,9,0,6,6,0,7,12,6,1,5.16666666666667
"43",44,0,25,0,3,5,6,7,4,5,4,0,11,15,1,4,21,6,2,5
